Nº do cliente;Safra;Estado;Renda Mensal;Endividamento;Quantidade de Cheques sem Fundo;Quantidade de Restritivos;Valor dos Restritivos;Quantidade de Protestos;Valor dos Protestos;Modelo Score 1;Modelo Score 2;Modelo Score 3;Modelo Score 4;Performance 30D3M EVER;Performance 60D6M EVER;Performance 60D9M EVER;Performance 90D9M EVER;Performance 90D12M EVER
632585066;2020-05-01 00:00:00 UTC;MS;1076;26 a 50%;0;2;418;0;0;141;236;196;405;BOM;MAU;MAU;MAU;MAU
1190978461;2020-05-01 00:00:00 UTC;MG;12709;Até 25%;0;0;0;0;0;767;646;805;946;BOM;BOM;BOM;BOM;BOM
1089164529;2020-06-01 00:00:00 UTC;MS;2518;Acima de 100%;0;4;32306;0;0;67;238;196;563;BOM;BOM;BOM;BOM;BOM
134232662;2020-05-01 00:00:00 UTC;RS;1090;Até 25%;0;0;0;0;0;245;523;290;698;MAU;BOM;MAU;BOM;MAU
1055185956;2020-10-01 00:00:00 UTC;RJ;1155;Até 25%;0;0;0;0;0;697;718;645;816;BOM;BOM;;;
974684749;2020-06-01 00:00:00 UTC;MG;2518;Até 25%;0;0;0;0;0;901;681;827;884;BOM;BOM;BOM;BOM;BOM
572056927;2020-09-01 00:00:00 UTC;BA;4278;Até 25%;0;0;0;0;0;683;679;680;772;BOM;BOM;BOM;BOM;
493138951;2020-10-01 00:00:00 UTC;TO;4548;Até 25%;0;0;0;0;0;837;659;676;782;BOM;BOM;;;
152987860;2020-06-01 00:00:00 UTC;MG;1723;Até 25%;0;0;0;0;0;433;614;521;698;BOM;BOM;BOM;BOM;BOM
687998151;2020-06-01 00:00:00 UTC;MG;1958;Acima de 100%;0;9;6856;1;106;141;212;266;645;BOM;BOM;BOM;BOM;BOM
884440582;2020-05-01 00:00:00 UTC;SC;4277;51 a 75%;0;1;1797;0;0;245;565;266;657;BOM;BOM;BOM;BOM;BOM
901368975;2020-05-01 00:00:00 UTC;BA;3437;51 a 75%;0;3;2730;0;0;146;246;321;647;BOM;MAU;MAU;MAU;MAU
191837913;2020-06-01 00:00:00 UTC;SP;3303;Até 25%;0;0;0;0;0;606;609;621;788;MAU;MAU;MAU;BOM;BOM
661935733;2020-09-01 00:00:00 UTC;RJ;4538;Até 25%;0;0;0;0;0;778;675;770;841;BOM;BOM;BOM;BOM;
833655403;2020-05-01 00:00:00 UTC;RS;4017;Até 25%;0;0;0;0;0;521;629;630;773;BOM;BOM;BOM;BOM;BOM
5016655;2020-06-01 00:00:00 UTC;MS;1043;Até 25%;0;0;0;0;0;590;631;543;736;BOM;BOM;BOM;BOM;BOM
537591206;2020-06-01 00:00:00 UTC;SP;1318;Até 25%;0;0;0;0;0;606;626;550;675;BOM;BOM;BOM;BOM;BOM
243597388;2020-05-01 00:00:00 UTC;GO;4018;26 a 50%;0;1;549;0;0;331;247;282;695;MAU;MAU;MAU;MAU;MAU
1137879329;2020-08-01 00:00:00 UTC;BA;1733;51 a 75%;0;1;458;1;480;167;227;266;624;BOM;BOM;BOM;BOM;
908432621;2020-10-01 00:00:00 UTC;PR;1057;Até 25%;0;0;0;0;0;579;631;558;464;BOM;BOM;;;
357346446;2020-06-01 00:00:00 UTC;MG;1249;Até 25%;0;0;0;0;0;606;665;656;745;BOM;MAU;MAU;MAU;MAU
620771727;2020-06-01 00:00:00 UTC;MS;1485;Até 25%;0;3;222;0;0;250;245;297;635;BOM;BOM;BOM;BOM;BOM
659987141;2020-07-01 00:00:00 UTC;RJ;4542;Até 25%;0;0;0;0;0;678;607;571;833;BOM;BOM;BOM;BOM;
1031072130;2020-05-01 00:00:00 UTC;BA;1361;Até 25%;0;0;0;0;0;270;635;290;587;BOM;BOM;BOM;BOM;BOM
846564825;2020-10-01 00:00:00 UTC;SC;3433;Até 25%;0;0;0;0;0;514;609;434;700;BOM;BOM;;;
356128576;2020-10-01 00:00:00 UTC;RJ;3366;Até 25%;0;0;0;0;0;270;660;456;702;BOM;BOM;;;
525534293;2020-05-01 00:00:00 UTC;BA;3368;Até 25%;0;0;0;0;0;470;625;282;712;BOM;BOM;BOM;BOM;BOM
989420976;2020-06-01 00:00:00 UTC;MG;3043;Até 25%;0;0;0;0;0;788;683;819;833;BOM;BOM;MAU;BOM;BOM
44841004;2020-05-01 00:00:00 UTC;RJ;3368;Até 25%;0;0;0;0;0;632;664;589;787;BOM;BOM;BOM;BOM;BOM
312285256;2020-08-01 00:00:00 UTC;PR;3492;Até 25%;0;0;0;0;0;243;533;250;713;BOM;BOM;BOM;BOM;
1196215302;2020-10-01 00:00:00 UTC;RS;1667;Acima de 100%;0;1;11097;0;0;162;506;227;681;MAU;MAU;;;
744994467;2020-05-01 00:00:00 UTC;SP;3492;51 a 75%;0;1;399;0;0;2;532;133;625;BOM;BOM;BOM;BOM;BOM
583139544;2020-10-01 00:00:00 UTC;SC;3306;Acima de 100%;0;6;94638;0;0;225;223;274;664;MAU;MAU;;;
926944245;2020-05-01 00:00:00 UTC;RJ;3429;Acima de 100%;0;4;8226;0;0;186;240;305;644;MAU;MAU;MAU;MAU;MAU
664980408;2020-10-01 00:00:00 UTC;MG;1648;Até 25%;0;0;0;0;0;540;617;589;702;MAU;MAU;;;
1188908082;2020-08-01 00:00:00 UTC;MG;3371;Até 25%;0;0;0;0;0;939;670;699;815;BOM;BOM;BOM;BOM;
306683054;2020-06-01 00:00:00 UTC;SP;1437;Até 25%;4;0;0;1;246;121;109;219;440;BOM;BOM;BOM;BOM;BOM
526995737;2020-05-01 00:00:00 UTC;SP;4277;Acima de 100%;0;0;0;3;6841;194;204;290;714;BOM;BOM;BOM;BOM;BOM
106221652;2020-05-01 00:00:00 UTC;TO;3305;Acima de 100%;0;2;7427;0;0;48;526;290;649;BOM;BOM;BOM;BOM;BOM
909772278;2020-09-01 00:00:00 UTC;BA;1145;Até 25%;0;0;0;0;0;311;623;339;662;BOM;MAU;MAU;MAU;
358929677;2020-06-01 00:00:00 UTC;BA;1204;Até 25%;0;0;0;0;0;429;596;469;666;BOM;BOM;BOM;BOM;MAU
623694615;2020-09-01 00:00:00 UTC;SP;4279;Até 25%;0;0;0;0;0;756;648;736;742;BOM;BOM;BOM;BOM;
37655571;2020-08-01 00:00:00 UTC;RJ;3366;Até 25%;0;0;0;0;0;495;649;517;675;BOM;BOM;BOM;BOM;
666563639;2020-10-01 00:00:00 UTC;MG;4409;Até 25%;0;0;0;0;0;865;746;833;819;BOM;BOM;;;
266736918;2020-10-01 00:00:00 UTC;MS;3492;Acima de 100%;0;5;18578;0;0;3;215;180;521;BOM;BOM;;;
223746107;2020-06-01 00:00:00 UTC;SC;3429;Até 25%;0;0;0;0;0;702;626;594;797;BOM;MAU;MAU;MAU;MAU
941315111;2020-06-01 00:00:00 UTC;MS;3492;Até 25%;0;0;0;0;0;612;626;459;757;BOM;BOM;MAU;MAU;MAU
1129354239;2020-08-01 00:00:00 UTC;SC;4404;76 a 100%;0;3;1052;0;0;158;224;274;622;BOM;BOM;BOM;BOM;
1017431986;2020-07-01 00:00:00 UTC;RS;4021;Até 25%;0;0;0;0;0;677;643;567;786;BOM;BOM;BOM;BOM;
944603360;2020-10-01 00:00:00 UTC;SC;3492;Até 25%;0;1;259;0;0;166;253;219;626;BOM;MAU;;;
721489576;2020-05-01 00:00:00 UTC;TO;3366;Acima de 100%;0;3;2322;0;0;8;193;156;485;BOM;BOM;BOM;BOM;BOM
1090017038;2020-09-01 00:00:00 UTC;SC;3366;Até 25%;0;0;0;0;0;502;669;290;750;BOM;BOM;BOM;BOM;
865807171;2020-05-01 00:00:00 UTC;RS;3492;Acima de 100%;0;3;2563;0;0;74;213;211;533;BOM;BOM;BOM;BOM;BOM
179781000;2020-06-01 00:00:00 UTC;MG;3492;Até 25%;0;0;0;0;0;395;651;547;685;BOM;BOM;BOM;BOM;BOM
1092452778;2020-10-01 00:00:00 UTC;RS;3366;Acima de 100%;0;3;984;2;2854;191;214;227;535;MAU;BOM;;;
586306006;2020-06-01 00:00:00 UTC;GO;3766;Até 25%;0;0;0;0;0;971;695;860;828;BOM;BOM;BOM;BOM;BOM
91485425;2020-09-01 00:00:00 UTC;MS;1566;Até 25%;0;0;0;0;0;731;660;712;796;BOM;BOM;BOM;BOM;
901734336;2020-07-01 00:00:00 UTC;SC;4019;Até 25%;0;0;0;0;0;807;602;836;735;BOM;BOM;BOM;BOM;
556224617;2020-07-01 00:00:00 UTC;TO;3429;Até 25%;0;0;0;0;0;595;589;591;633;MAU;MAU;MAU;MAU;
1188177360;2020-05-01 00:00:00 UTC;RS;3367;Até 25%;0;0;0;0;0;697;694;619;778;BOM;BOM;BOM;BOM;BOM
868242911;2020-05-01 00:00:00 UTC;SP;3492;Até 25%;0;1;295;0;0;134;556;297;615;MAU;BOM;BOM;BOM;MAU
326899696;2020-06-01 00:00:00 UTC;PR;3367;Até 25%;0;0;0;0;0;486;642;422;687;BOM;BOM;BOM;BOM;BOM
872261882;2020-07-01 00:00:00 UTC;MG;1374;Até 25%;0;0;0;0;0;832;680;796;816;BOM;BOM;BOM;BOM;
